run sh: `/home/mounir.ourekouch/.conda/envs/re_ssm/bin/python /home/mounir.ourekouch/.conda/envs/re_ssm/lib/python3.10/site-packages/swift/cli/sft.py --model Qwen/Qwen2.5-7B-Instruct --train_type lora --dataset re_data/1_PROMPT/RETACRED/ReTACRED_data_train.json --val_dataset re_data/1_PROMPT/RETACRED/ReTACRED_data_dev.json --torch_dtype bfloat16 --num_train_epochs 2 --per_device_train_batch_size 4 --per_device_eval_batch_size 4 --learning_rate 1e-4 --lora_rank 8 --lora_alpha 32 --target_modules all-linear --gradient_accumulation_steps 16 --eval_strategy steps --eval_steps 50 --save_steps 50 --save_total_limit 5 --logging_steps 5 --max_length 2048 --output_dir output --system You are an AI assistant specialized in identifying relationships between named entities in sentences. --warmup_ratio 0.05 --dataloader_num_workers 4 --model_author swift --model_name swift-robot`
Downloading Model from https://www.modelscope.cn to directory: /home/mounir.ourekouch/.cache/modelscope/hub/models/Qwen/Qwen2.5-7B-Instruct
Downloading Model from https://www.modelscope.cn to directory: /home/mounir.ourekouch/.cache/modelscope/hub/models/Qwen/Qwen2.5-7B-Instruct
{'loss': 0.06098013, 'grad_norm': 0.62908071, 'learning_rate': 9.698e-05, 'token_acc': 0.98125, 'epoch': 0.31, 'global_step/max_steps': '285/1828', 'percentage': '15.59%', 'elapsed_time': '1h 1m 27s', 'remaining_time': '5h 32m 45s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.077284}
{'loss': 0.07454814, 'grad_norm': 0.62875479, 'learning_rate': 9.682e-05, 'token_acc': 0.97708333, 'epoch': 0.32, 'global_step/max_steps': '290/1828', 'percentage': '15.86%', 'elapsed_time': '1h 1m 53s', 'remaining_time': '5h 28m 14s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.078094}
{'loss': 0.07284172, 'grad_norm': 0.39321035, 'learning_rate': 9.666e-05, 'token_acc': 0.96979167, 'epoch': 0.32, 'global_step/max_steps': '295/1828', 'percentage': '16.14%', 'elapsed_time': '1h 2m 18s', 'remaining_time': '5h 23m 48s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.078903}
{'loss': 0.06052822, 'grad_norm': 0.59263718, 'learning_rate': 9.65e-05, 'token_acc': 0.97395833, 'epoch': 0.33, 'global_step/max_steps': '300/1828', 'percentage': '16.41%', 'elapsed_time': '1h 2m 44s', 'remaining_time': '5h 19m 35s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.079686}
{'eval_loss': 0.07371821, 'eval_runtime': 450.7934, 'eval_samples_per_second': 43.443, 'eval_steps_per_second': 10.861, 'eval_token_acc': 0.97349877, 'epoch': 0.33, 'global_step/max_steps': '300/1828', 'percentage': '16.41%', 'elapsed_time': '1h 10m 15s', 'remaining_time': '5h 57m 51s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.071164}
{'loss': 0.0448937, 'grad_norm': 0.38843867, 'learning_rate': 9.633e-05, 'token_acc': 0.98125, 'epoch': 0.33, 'global_step/max_steps': '305/1828', 'percentage': '16.68%', 'elapsed_time': '1h 10m 41s', 'remaining_time': '5h 53m 1s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.071902}
{'loss': 0.07200827, 'grad_norm': 0.54721576, 'learning_rate': 9.616e-05, 'token_acc': 0.97604167, 'epoch': 0.34, 'global_step/max_steps': '310/1828', 'percentage': '16.96%', 'elapsed_time': '1h 11m 7s', 'remaining_time': '5h 48m 15s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.072646}
{'loss': 0.07473265, 'grad_norm': 0.42994636, 'learning_rate': 9.598e-05, 'token_acc': 0.96666667, 'epoch': 0.34, 'global_step/max_steps': '315/1828', 'percentage': '17.23%', 'elapsed_time': '1h 11m 32s', 'remaining_time': '5h 43m 39s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.073378}
{'loss': 0.06305894, 'grad_norm': 0.42158753, 'learning_rate': 9.58e-05, 'token_acc': 0.98333333, 'epoch': 0.35, 'global_step/max_steps': '320/1828', 'percentage': '17.51%', 'elapsed_time': '1h 11m 58s', 'remaining_time': '5h 39m 10s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.074102}
{'loss': 0.07228388, 'grad_norm': 0.67065656, 'learning_rate': 9.562e-05, 'token_acc': 0.97708333, 'epoch': 0.36, 'global_step/max_steps': '325/1828', 'percentage': '17.78%', 'elapsed_time': '1h 12m 23s', 'remaining_time': '5h 34m 47s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.074821}
